ID,Name,Handedness,Birthday,Country,Full Name
0000000089,霸龍,右投右打,1973/08/28,美國,Kit Pellow
0000000090,強森,右投左打,1975/10/03,加拿大,Mike Johnson
0000000091,霸漢,左投左打,1974/10/13,美國,Gary Burnham
0000000092,飛鵬,右投右打,1980/07/02,美國,Jermaine van Buren
0000000094,雷克斯,右投右打,1977/01/22,美國,Aaron Rakers
0000000095,戈登,右投右打,1980/06/12,美國,Nate Gold
0000000096,耿伯軒,右投右打,1984/10/15,中華民國,
0000000097,竹岡和宏,右投右打,1975/01/25,日本,Takeoka Kazuhiro
0000000098,雷恩斯,右投左右開弓,1979/08/31,美國,Tim Raines Jr.
0000000099,米勒,右投右打,1979/02/07,美國,Josh Miller
0000000100,酷力士,左投左打,1973/01/28,美國,Jacob Cruz
0000000101,希爾法,右投右打,1973/12/19,美國,Jose Silva
0000000102,戰銳龍,右投右打,1975/08/06,委內瑞拉,Victor Zambrano
0000000103,派克,左投右打,1981/08/19,美國,Zachary Parker
0000000104,梅森,右投右打,1984/07/01,美國,Chris Mason
0000000105,銳,右投右打,1974/11/27,美國,Ken Ray
0000000106,三橋直樹,右投右打,1980/12/02,日本,Mitsuhashi Naoki
0000000107,威力烈,左投左打,1979/12/20,美國,Luis Villarreal
0000000108,勝騎士,右投右打,1983/05/28,多明尼加,Humberto Sanchez
0000000109,艾猛士,右投右打,1978/04/29,委內瑞拉,Tony Armas
0000000110,悍猛,左投右打,1982/04/30,美國,Steve Hammond
0000000111,奔薩,左投右打,1977/03/15,澳大利亞,Adrian Burnside
0000000112,鄭承浩,左投左打,1987/05/20,中華民國,Kacaw Kaniw
0000000113,杜拉克,右投右打,1982/05/30,美國,Scot Drucker
0000000114,尤猛,左投左打,1979/10/11,美國,Shane Youman
0000000115,酷力,右投右打,1973/10/21,美國,Bryan Corey
0000000116,王嘉誠,右投右打,1986/05/30,中華民國,
0000000117,洪宸宇,左投左打,1989/03/27,中華民國,
0000000118,狄納多,左投左打,1979/09/14,美國,Leonard  DiNardo
0000000119,迪薩猛,右投右打,1980/09/11,美國,Matt DeSalvo
0000000120,菲利浦,右投右打,1984/01/26,美國,Paul Phillips
0000000121,羅力,右投右打,1984/09/14,美國,Mike Loree
0000000123,波拉斯,左投左打,1981/04/08,美國,Brian Burres
0000000124,史奈德,左投左打,1985/07/20,美國,Benjamin Snyder
0000000125,河本羅柏特,右投右打,1986/01/30,日本,Kawamoto Robert
0000000126,德本,右投右打,1982/02/24,美國,Joseph Durbin
0000000127,捍力士,右投右打,1986/12/12,美國,Ty'Relle Harris
0000000128,朱俊祥,右投左打,1995/04/15,中華民國,
0000000129,賴達官,左投左打,1994/12/21,中華民國,
0000000130,猛德拉,右投右打,1980/08/11,多明尼加,Sandy Madera
0000000131,猛雷特,左投左打,1985/09/22,美國,Roydrick Merritt
0000000132,梁家榮,右投左打,1995/03/25,中華民國,
0000000133,林國裕,右投右打,1989/12/13,中華民國,
0000000134,許銘傑,右投右打,1976/12/01,中華民國,
0000000135,陳禹勳,右投右打,1989/05/20,中華民國,
0000000136,郭勝安,右投右打,1986/01/01,中華民國,
0000000137,豪瑟,左投左打,1984/12/15,美國,James Houser
0000000138,林樺慶,右投右打,1994/10/03,中華民國,
0000000139,邁能,右投右打,1982/03/12,美國,Zach Miner
0000000140,張煒謙,右投左打,1995/11/17,中華民國,
0000000141,董子浩,右投左打,1996/08/11,中華民國,
0000000142,泰霸,右投右打,1983/10/17,美國,Mitchell R. Talbot
0000000143,藍斯佛,右投右打,1986/10/22,美國,Jared Lansford
0000000144,亞力士,右投右打,1988/02/08,多明尼加,Jonathan Arias
0000000145,賈希亞,左投左打,1984/10/30,多明尼加,Ramon Garcia
0000000146,神盾,左投左打,1983/10/13,美國,Chris Seddon
0000000147,艾肯,右投右打,1985/10/01,美國,Mitch Atkins
0000000148,銳爾登,右投右打,1986/05/25,美國,Cory Riordan
0000000149,明星,左投左打,1981/08/18,美國,Patrick Misch
0000000150,蘇俊羽,右投右打,1996/10/30,中華民國,
0000000151,張明翔,右投左打,1996/10/04,中華民國,
0000000152,葉家淇,左投左打,1997/05/23,中華民國,
0000000153,林承飛,右投右打,1997/04/08,中華民國,
0000000154,瓦德茲,右投右打,1985/03/17,多明尼加,Cesar Miguel Valdez	
0000000155,游宗儒,右投右打,1992/05/21,中華民國,
0000000156,索爾,右投右打,1989/06/22,澳大利亞,Ryan Searle
0000000157,史博威,右投左右開弓,1989/09/11,美國,Zeke Spruill
0000000158,廖健富,右投左打,1998/09/28,中華民國,
0000000159,成晉,右投右打,1998/11/13,中華民國,
0000000160,萬昭清,右投右打,1999/01/18,中華民國,
0000000161,黃敬瑋,右投左打,1994/12/21,中華民國,
0000000162,路易士,左投左打,1982/09/02,美國,Rommie Lewis
0000000163,麥克,右投右打,1964/08/01,美國,Michael Bosco
0000000164,沈俊忠,右投右打,1968/09/30,中華民國,
0000000165,涂忠男,右投右打,1959/02/20,中華民國,
0000000166,吳思賢,右投右打,1963/07/02,中華民國,
0000000167,張建勳,右投右打,1972/11/21,中華民國,
0000000168,希斯,右投左打,1962/10/20,美國,Cecil Espy
0000000169,陳威成,右投右打,1966/05/24,中華民國,
0000000170,肯尼,右投右打,1964/11/01,美國,William Kenneth
0000000171,小島圭市,左投左打,1968/07/01,日本,Kojima Keiichi
0000000172,王俊郎,左投左打,1959/10/30,中華民國,
0000000173,張耀騰,右投右打,1965/03/28,中華民國,
0000000174,金子勝裕,右投右打,1971/08/04,日本,Kaneko Katsuhiro
0000000175,湯尼,右投右打,1962/07/01,美國,Tony Metoyer
0000000176,韓禧敏,右投右打,1962/07/19,韓國,
0000000177,野中尊制,右投右打,1965/05/22,日本,Nonaka Tetsuhiru
0000000178,黃文明,右投右打,1963/01/15,中華民國,
0000000179,李斯特,右投右打,1959/10/10,委內瑞拉,Lester Strater
0000000180,黃忠義,右投右打,1967/10/12,中華民國,
0000000181,劉榮華,右投右打,1966/10/10,中華民國,
0000000182,黃杉楹,左投左打,1970/08/25,中華民國,
0000000183,奧古斯都,右投右打,1963/07/03,美國,Donald August
0000000184,凱文,右投右打,1969/09/18,美國,Kevin Thomas
0000000185,白昆弘,右投右打,1970/01/06,中華民國,
0000000186,張天麟,右投右打,1967/12/14,中華民國,
0000000187,邦尼,左投左打,1966/06/18,美國,Bernard Walker
0000000188,金鐘國,右投右打,1972/09/25,韓國,Kim Jong Guk
0000000189,吳哲宗,右投右打,1968/02/15,中華民國,
0000000190,威爾,左投左打,1965/11/23,美國,William Flynt
0000000191,王傳家,左投左打,1971/06/26,中華民國,
0000000192,廖俊銘,右投右打,1965/12/25,中華民國,
0000000193,柯林頓,右投右打,1960/07/29,美國,Clinton Smith
0000000194,劉炳宣,右投右打,1963/12/05,韓國,Ryu Byeong Sun
0000000195,張協進,右投右打,1969/08/20,中華民國,
0000000196,成田幸洋,右投右打,1961/07/16,日本,Norita Yukihiro
0000000197,林朝煌,右投右打,1969/08/17,中華民國,
0000000198,賴有亮,右投右打,1972/08/02,中華民國,
0000000199,羅強,右投左打,1964/06/11,美國,Ronald Jones
0000000200,魔登,左投左打,1968/08/03,美國,Kevin Morton
0000000201,張家豪,左投左打,1972/10/12,中華民國,
0000000202,甘炳勳,左投左打,1971/05/25,韓國,
0000000203,里昂,右投右打,1972/04/15,多明尼加,Elcilio Leon
0000000204,開農,右投右打,1970/10/22,多明尼加,Sergio Cairo
0000000205,詹姆士,右投右打,1963/04/11,美國,James Bishop
0000000206,朴仁球,左投左打,1970/12/30,韓國,
0000000207,來加,左投左打,1972/04/29,美國,Chris Nyguard
0000000208,張文宗,左投左打,1968/04/17,中華民國,
0000000209,勇壯,右投右打,1975/05/09,多明尼加,Osvaldo Martinez
0000000210,楓康,右投右打,1968/11/13,美國,Mark Kiefer
0000000211,麥海奇,右投右打,1970/06/22,美國,MICHAEL HICKEY
0000000212,鐵布衫,右投右打,1962/04/28,美國,Luis Torruellas
0000000213,帝多,右投左打,1965/03/29,多明尼加,Juan Bell
0000000214,鐵砂掌,右投右打,1966/12/19,美國,Joseph Slusaraki
0000000215,黑金光,右投右打,1971/07/03,多明尼加,Jose Soreano
0000000216,馬修,左投左打,1966/10/12,美國,Randy Marshall
0000000217,法西斯,右投右打,1970/04/24,美國,Fransico Martines
0000000218,富蘭克林,右投右打,1968/08/05,美國,Jack Franklin
0000000219,神真水,右投左打,1965/03/03,美國,Bertram Heffernan
0000000220,寶時捷,右投左右開弓,1971/05/23,美國,Marshall Boze
0000000221,金炯均,右投右打,1969/05/14,韓國,
0000000222,陳宗男,左投左打,1974/01/05,中華民國,
0000000223,歐峻男,左投左打,1968/08/16,中華民國,
0000000224,奇威,右投左打,1968/04/22,美國,Kevin Castle
0000000225,金砂掌,右投右打,1968/12/14,美國,Jody Treadwell
0000000226,風情,左投左打,1962/05/11,美國,Timothy Fortugno
0000000227,力拔山,右投右打,1970/09/02,美國,Alvin Brown
0000000228,怪力男,右投左打,1969/07/10,美國,Jay Kirkpatrick
0000000229,立花義家,左投左打,1958/10/27,日本,Tachibana Yoshie
0000000230,安收多,右投右打,1968/07/10,美國,James Maurer
0000000231,陳昭銘,右投右打,1971/01/07,中華民國,
0000000232,葉高立,右投右打,1976/12/15,中華民國,
0000000233,葉泳麟,右投右打,1975/06/04,中華民國,
0000000234,凱爾,左投右打,1970/09/21,美國,Robert  Kell
0000000235,馬雅,右投右打,1969/04/28,美國,James Myers
0000000236,麥克,左投左打,1969/02/13,美國,Michael Mimbs
0000000237,王崇耀,右投右打,1976/07/23,中華民國,
0000000238,劉忠岳,右投右打,1970/08/08,中華民國,
0000000239,高龍偉,右投右打,1976/03/22,中華民國,
0000000240,羅松永,右投右打,1974/09/19,中華民國,
0000000241,陳宗甫,右投右打,1975/12/30,中華民國,
0000000242,羅尼,左投左打,1969/10/31,波多黎各,Marrero Vazquel
0000000243,艾比盈,右投右打,1971/01/16,美國,Matthew Apana
0000000244,艾巴勒,左投左打,1973/08/17,美國,Adam Butler
0000000245,喬葛來,右投右打,1969/06/29,美國,George Glinatsis
0000000246,鄭兆行,右投右打,1977/02/14,中華民國,Arang Karo
0000000247,謝光勇,右投右打,1977/10/25,中華民國,
0000000248,郭耀文,左投左打,1977/11/01,中華民國,
0000000249,曾華偉,右投右打,1977/06/28,中華民國,
0000000250,張家浩,右投左打,1976/10/31,中華民國,
0000000251,高健龍,右投右打,1977/05/28,中華民國,
0000000252,林朝揚,右投右打,1977/02/17,中華民國,
0000000253,施昭同,右投右打,1976/06/01,中華民國,
0000000254,帝猛,左投右打,1970/11/05,美國,Glenn Disman
0000000255,萬建榮,右投右打,1976/10/10,中華民國,
0000000256,威森,右投右打,1972/03/30,多明尼加,Wilson Heredia
0000000257,郭勇志,右投右打,1977/09/24,中華民國,
0000000258,羅仁成,右投右打,1975/02/21,中華民國,
0000000259,前田克拓,右投右打,1971/07/23,日本,Maeda Katsuhiro
0000000260,曾揚岳,右投右打,1975/10/27,中華民國,
0000000261,蔡仲南,右投右打,1979/03/07,中華民國,
0000000262,楊仁明,右投右打,1978/08/28,中華民國,
0000000263,摩塔,右投右打,1974/09/28,多明尼加,Daniel Mota
0000000264,安生,右投右打,1974/03/24,中華民國,Fred Anson
0000000265,魔銳,右投右打,1974/08/15,多明尼加,Ramon Morel
0000000266,飛勇,左投左打,1975/09/09,美國,Jeffery Louis Andra
0000000267,余文彬,右投右打,1978/12/18,中華民國,
0000000268,邱敏舜,右投左右開弓,1979/10/25,中華民國,
0000000269,陽建福,右投右打,1979/04/22,中華民國,
0000000270,楊進雄,右投左打,1977/09/12,中華民國,
0000000271,泰勇,右投右打,1974/11/18,多明尼加,Maximo Repolado
0000000272,好楓康,右投右打,1975/08/12,多明尼加,Gustavo Lopez
0000000273,余進德,右投右打,1978/08/03,中華民國,
0000000274,鐵木真,左投左打,1973/10/15,美國,Timothy Young
0000000275,金勇,右投右打,1971/09/05,多明尼加,Aquiles Sera
0000000276,張建銘,左投左打,1980/07/27,中華民國,
0000000277,新楓康,右投右打,1966/12/10,多明尼加,Melquiades Rojas
0000000278,王世驊,右投右打,1980/05/27,中華民國,
0000000279,樂米,右投右打,1972/12/15,多明尼加,Hector Ramirez
0000000280,許國隆,右投右打,1980/10/16,中華民國,
0000000281,李國慶,右投右打,1980/10/10,中華民國,
0000000282,鄭達鴻,右投左打,1981/01/12,中華民國,
0000000283,余賢明,左投左右開弓,1980/03/21,中華民國,
0000000284,黑拔都,右投右打,1977/02/09,多明尼加,Geraldo Padua
0000000285,克林頓,右投右打,1980/08/08,加拿大,Clinton Hosford
0000000286,凱特,右投右打,1974/10/25,美國,Bradley Guy
0000000288,克提茲,右投右打,1972/09/04,巴拿馬,Jorge Cortez
0000000289,杜寅傑,右投右打,1981/01/10,中華民國,
0000000290,盧銘銓,右投右打,1980/09/22,中華民國,
0000000291,鄭閔韓,右投右打,1981/10/24,中華民國,
0000000292,威霸,右投右打,1975/03/17,美國,Clint Weibl
0000000293,陳志偉,右投右打,1981/03/18,中華民國,
0000000294,蘇建榮,右投右打,1983/06/05,中華民國,
0000000295,剛雷,右投右打,1979/09/17,多明尼加,Alfredo Gonzalez
0000000296,威勇,右投右打,1976/10/01,美國,Billy Sylvester
0000000297,竹清剛治,右投右打,1974/11/12,日本,Takekiyo Kouji
0000000298,川野昌彥,左投左打,1983/06/07,日本,
0000000299,鈴江彬,右投右打,1986/12/25,日本,
0000000300,芝草宇宙,右投右打,1969/08/18,日本,Shibakusa Hiroshi
0000000301,井場友和,右投右打,1976/08/27,日本,Iba Tomokazu
0000000302,栗田雄介,左投左打,1980/08/23,日本,Kurita Yusuke
0000000303,飛雷,左投左打,1981/01/28,多明尼加,Yorkin Ferreras
0000000304,片山文男,右投右打,1984/08/06,日本,Katayama Fumio
0000000305,康明斯,右投右打,1976/11/07,美國,Jeremy Cummings
0000000306,克隆尼,左投左打,1982/06/02,美國,Michael Connolly
0000000307,凡托,右投右打,1978/05/25,美國,Mike Vento
0000000308,沃斯,右投右打,1975/10/06,美國,Jeffrey Farnsworth
0000000309,夏威茲,右投右打,1978/06/13,多明尼加,Wilton Chavez
0000000310,麥迪生,右投右打,1980/06/21,美國,Kieran Mattison
0000000312,正田樹,左投左打,1981/11/03,日本,Shoda Itsuki
0000000313,馬提茲,右投右打,1978/11/03,多明尼加,Anastacio Martinez
0000000314,沃樂,右投右打,1980/10/23,多明尼加,Pedro Liriano
0000000315,雷卡多,右投右打,1978/05/21,多明尼加,Ricardo Rodriguez
0000000316,奇威,右投右打,1977/01/18,多明尼加,Franklin Nunez
0000000317,高津臣吾,右投右打,1968/11/25,日本,Takatsu Shingo
0000000318,雷歐,右投右打,1980/06/21,多明尼加,Sendy Rleal
0000000319,格林,左投左打,1976/11/22,美國,Lindsay Gulin
0000000320,艾力克,右投右打,1977/01/05,美國,Eric Junge
0000000321,麥克,左投左打,1976/10/18,美國,Michael Tejera
0000000322,沃樂飛,右投左打,1978/01/27,加拿大,Pete LaForest
0000000323,凱特,左投左打,1980/10/21,美國,Troy Cate
0000000324,古茲曼,右投左打,1983/11/28,墨西哥,Jorge Guzman
0000000325,班尼,左投左打,1977/12/04,多明尼加,Juan Pena
0000000326,哈維爾,右投右打,1982/12/09,墨西哥,Javier Martinez
0000000327,林晨樺,右投右打,1988/12/16,中華民國,
0000000328,林彥峰,右投右打,1985/05/22,中華民國,
0000000331,曼尼,右投右打,1972/05/30,多明尼加,Manuel Ramirez
0000000332,希克,左投左打,1983/01/13,美國,Andrew Sisco
0000000333,柴克,右投右打,1984/05/15,美國,Zachary Hammes
0000000334,鄭現澤,左投左打,1980/02/22,韓國,"Jung, Hyun Taek"
0000000335,英克,左投左打,1984/09/13,美國,Jesse English
0000000336,馬克,右投右打,1984/06/29,美國,Matt Torra
0000000337,強克,右投右打,1983/11/05,多明尼加,Juan Morillo
0000000338,丹克,左投右打,1986/04/28,美國,Daniel Moskos
0000000339,達克,右投右打,1987/09/21,美國,David Harden
0000000340,尼克,右投右打,1984/08/20,美國,Nick Green
0000000341,范玉禹,右投左打,1995/04/27,中華民國,
0000000342,蕭一傑,右投右打,1986/01/02,中華民國,
0000000343,高孝儀,右投右打,1990/05/29,中華民國,
0000000344,李那瑞,右投右打,1983/10/28,多明尼加,Donell Linares Benitez
0000000345,偉克,右投右打,1983/11/07,多明尼加,Esmerling Vasquez
0000000346,賈西亞,右投右打,1976/10/06,委內瑞拉,Freddy Garcia
0000000347,克拉帝,左投左打,1984/09/25,委內瑞拉,Victor Garate
0000000348,蔡友達,右投右打,1990/05/16,中華民國,
0000000349,楊子翔,右投右打,1995/12/27,中華民國,
0000000350,林旺衛,右投左打,1988/06/28,中華民國,
0000000351,史密斯,左投左打,1983/01/26,澳大利亞,Ryan Rowland-Smith
0000000352,何南德,右投右打,1986/05/21,美國,Gabriel Hernandez
0000000353,飛克,右投右打,1985/11/20,美國,Charles Joseph Fick JR
0000000354,林政賢,左投左打,1995/09/13,中華民國,
0000000355,彭璿紘,右投右打,1996/11/13,中華民國,
0000000356,石翔宇,右投右打,1996/11/01,中華民國,
0000000357,黃亦志,右投右打,1992/06/01,中華民國,
0000000358,力猛,右投右打,1979/08/30,加拿大,Scott Richmond
0000000359,潘力,右投右打,1985/03/25,古巴,Hassan Pena
0000000360,吳睿勝,右投左打,1994/06/23,中華民國,
0000000361,張冠廷,右投左打,1998/09/01,中華民國,
0000000362,申皓瑋,右投右打,1997/09/12,中華民國,
0000000363,陳仕朋,左投左打,1997/09/20,中華民國,
0000000364,劉家愷,左投左打,1994/03/25,中華民國,
0000000365,麥力戈,右投右打,1986/12/19,美國,Scott McGregor
0000000366,楊晉豪,右投左打,1998/09/16,中華民國,
0000000367,吳世豪,右投右打,1999/01/13,中華民國,
0000000368,游霆崴,右投右打,1997/10/11,中華民國,
0000000369,酷必克,右投右打,1989/08/03,美國,David Kubiak
0000000370,陳慶國,左投左打,1974/09/29,中華民國,
0000000371,矢野和哉,左投左打,1962/12/10,日本,Yano Kazuyo
0000000372,楊章鑫,右投右打,1966/07/07,中華民國,
0000000373,威迪,左投左打,1966/01/18,多明尼加,Valdee Efrain
0000000374,王光熙,右投右打,1967/08/02,中華民國,
0000000375,曾貴章,左投左打,1967/08/01,中華民國,
0000000376,邱啟成,右投右打,1969/01/13,中華民國,
0000000377,吳俊賢,右投右打,1971/10/26,中華民國,
0000000378,美樂,右投右打,1965/09/03,美國,Steve Stowell
0000000379,祕雷,右投右打,1965/04/06,美國,Garrick Millay
0000000380,多情,右投右打,1965/05/15,美國,David Turgeon
0000000381,曾政雄,右投右打,1971/04/12,中華民國,
0000000382,翔鷹,右投右打,1960/06/27,哥倫比亞,Jackie Gutierrez
0000000383,路易,右投右打,1971/01/11,多明尼加,Luis Perez
0000000384,黃裕登,右投右打,1973/05/30,中華民國,
0000000385,郭建成,右投右打,1965/07/07,中華民國,
0000000386,蔡旭峰,左投右打,1950/09/01,中華民國,
0000000387,廖敏雄,右投右打,1968/10/17,中華民國,
0000000388,李聰富,右投右打,1972/10/13,中華民國,
0000000389,陳執信,右投右打,1962/05/16,中華民國,
0000000390,鈴木健,右投右打,1969/04/16,日本,Suzuki Ken
0000000391,尤伸評,右投右打,1968/08/09,中華民國,
0000000392,卓琨原,右投右打,1969/10/12,中華民國,
0000000393,福哥,右投右打,1966/03/03,多明尼加,Francisco Rosa
0000000394,古勝吉,右投右打,1968/11/10,中華民國,
0000000395,查力士,右投右打,1972/10/02,多明尼加,Pena Charles
0000000396,謝奇勳,右投右打,1965/02/14,中華民國,
0000000397,美樂黑,右投右打,1964/11/23,多明尼加,Jose Gonzales
0000000398,愛快,右投右打,1960/04/27,美國,Brian Giles
0000000399,辣銳,右投右打,1960/06/20,美國,Larry See
0000000400,羅賓,左投左打,1964/11/16,美國,Robbin Dale
0000000401,喬治,右投右打,1959/10/23,美國,George Hinshaw3
0000000402,褚志遠,左投左打,1970/08/08,中華民國,
0000000403,川島堅,右投右打,1969/07/20,日本,Kawashima  Ken
0000000404,阿諾,右投右打,1968/08/17,美國,Tim Reynolds
0000000405,馬丁,右投右打,1967/06/02,多明尼加,Mariano Martinez
0000000406,張正憲,右投右打,1967/02/08,中華民國,
0000000407,雷蒙,右投右打,1968/11/12,多明尼加,Tauarez Ramon
0000000408,蔡明宏,右投右打,1966/09/02,中華民國,
0000000409,丹尼歐,右投右打,1963/07/22,多明尼加,Denio Gonzalez
0000000410,大瑞,右投左右開弓,1959/05/17,多明尼加,Pascual Perez
0000000411,克拉馬,右投右打,1960/09/20,美國,Randy Kramer
0000000412,奇戈,右投右打,1971/09/09,多明尼加,Robinson Checo
0000000413,馬丁尼,右投右打,1971/01/04,多明尼加,Jose Martinez
0000000414,馬力安,右投右打,1970/07/13,多明尼加,Mariano Santos
0000000415,馬力,右投右打,1973/08/27,多明尼加,Sangilbert  Mario
0000000416,捷銳,右投右打,1963/07/22,美國,Gary Eave
0000000417,菊地原毅,左投左打,1975/03/07,日本,Kikuchihara Tsuyoshi
0000000418,李維,右投右打,1970/11/05,多明尼加,Carlos Rivera
0000000419,伯納德,右投右打,1963/12/03,多明尼加,Bernardo Brito
0000000420,裘恩,右投右打,1975/12/25,多明尼加,Juan  Duran
0000000421,飛力,右投左右開弓,1973/07/24,多明尼加,Felix Perdomo
0000000422,千代丸亮彦,右投右打,1970/12/25,日本,Chiyomaru Akihiko
0000000423,得力旺,右投右打,1960/12/20,多明尼加,Jose Leon
0000000424,丹尼,右投右打,1967/04/03,委內瑞拉,Danilo Gonzales
0000000425,威格,右投右打,1961/10/29,美國,Hector Villanueva
0000000426,傑恩,右投右打,1967/02/01,多明尼加,Juan Guerrero
0000000427,羅曼,右投右打,1973/09/06,多明尼加,Manuel Roman
0000000428,卡瑞拉,右投右打,1966/10/10,美國,Francisco Cabrera
0000000429,魯賓,右投右打,1970/03/07,多明尼加,Ruben Santana
0000000430,力飛諾,右投右打,1971/12/24,多明尼加,Delfino Mejia
0000000431,馬克,右投右打,1966/07/21,美國,Mark Zappeli
0000000432,池田郁夫,左投左打,1974/06/22,日本,Ikeda Ikuo
0000000433,蔡重光,左投左打,1965/09/08,中華民國,
0000000434,王保文,右投右打,1972/09/23,中華民國,
